-88.04,148.63,0.00,1.00
-88.25,153.74,0.00,1.00
-83.99,149.36,0.00,1.00
-83.11,153.38,0.00,1.00
-84.19,153.22,0.00,1.00
-85.45,149.44,0.00,1.00
-90.34,149.53,0.00,1.00
-88.12,145.48,0.00,1.00
-85.39,148.12,0.00,1.00
-86.39,152.02,0.00,1.00
-76.19,53.01,0.00,1.00
-72.97,51.71,0.00,1.00
-72.29,55.99,0.00,1.00
-73.99,54.63,0.00,1.00
-76.30,50.16,0.00,1.00
-70.83,51.89,0.00,1.00
-72.55,56.64,0.00,1.00
-79.11,54.42,0.00,1.00
-74.89,52.76,0.00,1.00
-76.53,55.74,0.00,1.00
-112.28,157.62,0.00,1.00
-113.10,152.75,0.00,1.00
-113.73,155.83,0.00,1.00
-114.36,155.42,0.00,1.00
-112.10,156.47,0.00,1.00
-111.16,156.93,0.00,1.00
-112.61,155.43,0.00,1.00
-109.65,155.77,0.00,1.00
-112.37,155.98,0.00,1.00
-109.96,151.89,0.00,1.00
10.32,-100.96,0.00,1.00
11.80,-98.31,0.00,1.00
10.36,-97.05,0.00,1.00
10.68,-102.60,0.00,1.00
13.26,-99.43,0.00,1.00
9.54,-99.60,0.00,1.00
8.84,-100.96,0.00,1.00
11.91,-97.03,0.00,1.00
11.54,-96.85,0.00,1.00
9.79,-101.90,0.00,1.00
-70.79,-23.19,0.00,1.00
-67.29,-21.06,0.00,1.00
-69.53,-24.63,0.00,1.00
-75.25,-24.35,0.00,1.00
-74.25,-24.70,0.00,1.00
-75.62,-23.95,0.00,1.00
-70.52,-22.51,0.00,1.00
-74.21,-22.93,0.00,1.00
-72.82,-23.34,0.00,1.00
-71.07,-23.83,0.00,1.00
169.74,-104.23,0.00,1.00
173.19,-103.17,0.00,1.00
172.56,-106.06,0.00,1.00
171.69,-104.02,0.00,1.00
173.08,-106.12,0.00,1.00
171.25,-104.52,0.00,1.00
172.18,-104.84,0.00,1.00
172.12,-104.46,0.00,1.00
168.36,-106.69,0.00,1.00
170.66,-105.89,0.00,1.00
156.34,206.95,0.00,1.00
156.69,207.79,0.00,1.00
160.18,206.37,0.00,1.00
158.15,205.65,0.00,1.00
156.60,206.51,0.00,1.00
158.30,205.70,0.00,1.00
158.53,206.90,0.00,1.00
158.89,205.87,0.00,1.00
155.90,206.57,0.00,1.00
156.97,205.35,0.00,1.00
-165.19,-6.08,0.00,1.00
-165.02,-1.70,0.00,1.00
-163.52,-8.82,0.00,1.00
-167.89,-8.01,0.00,1.00
-163.69,-7.25,0.00,1.00
-165.04,-6.19,0.00,1.00
-165.07,-8.51,0.00,1.00
-166.43,-8.14,0.00,1.00
-166.72,-6.54,0.00,1.00
-169.41,-8.31,0.00,1.00
66.54,-108.19,0.00,1.00
67.87,-110.44,0.00,1.00
68.42,-109.30,0.00,1.00
68.44,-108.09,0.00,1.00
69.24,-109.26,0.00,1.00
65.23,-111.62,0.00,1.00
68.91,-114.83,0.00,1.00
66.52,-111.27,0.00,1.00
68.47,-110.16,0.00,1.00
66.74,-109.40,0.00,1.00
0.06,125.74,0.00,1.00
1.45,120.31,0.00,1.00
0.60,122.58,0.00,1.00
0.88,124.04,0.00,1.00
-1.18,119.92,0.00,1.00
0.83,120.73,0.00,1.00
0.87,119.98,0.00,1.00
-0.97,119.97,0.00,1.00
2.07,124.63,0.00,1.00
-1.79,120.47,0.00,1.00
-224.73,-6.08,0.00,1.00
-227.69,-8.35,0.00,1.00
-225.07,-4.10,0.00,1.00
-224.54,-6.36,0.00,1.00
-224.89,-5.24,0.00,1.00
-231.01,-4.66,0.00,1.00
-229.66,-8.30,0.00,1.00
-227.28,-9.28,0.00,1.00
-225.61,-7.60,0.00,1.00
-225.27,-6.95,0.00,1.00
-211.67,123.55,0.00,1.00
-210.99,119.26,0.00,1.00
-213.81,122.60,0.00,1.00
-213.15,120.59,0.00,1.00
-211.99,123.15,0.00,1.00
-211.48,120.67,0.00,1.00
-214.25,120.95,0.00,1.00
-211.74,123.60,0.00,1.00
-213.19,117.76,0.00,1.00
-210.28,120.13,0.00,1.00
50.37,179.31,0.00,1.00
50.44,182.65,0.00,1.00
45.65,181.56,0.00,1.00
48.92,185.13,0.00,1.00
